entity_id,display_name,normalized_name,entity_type,intel_stack_level,notes,source
# Key Individuals - Alleged Gatekeepers and Program Personnel
hw_terry_phillips,Terry Phillips,terry_phillips,Individual,2,SES1 AFOSIPJ Executive Director (2016-2021); Air Force SAP Security Director; Now VP Security at Northrop Grumman (prev Leidos CSO),UAPGerb Hidden Wing 2026
hw_lee_russ,Lee M. Russ,lee_russ,Individual,2,Special Agent; Successor to Terry Phillips at AFOSIPJ and Air Force SAPs,UAPGerb Hidden Wing 2026
hw_russell_wiler,Russell E. Wiler,russell_wiler,Individual,2,SES2; Director SAF AAH Sensitive Activities (2009-2024); Possible SES2 gatekeeper per Mellon exchange,UAPGerb Hidden Wing 2026
hw_william_mcclure,William E. McClure,william_mcclure,Individual,2,SES2; Director SAF AAZ Security/Special Programs (2019-2021); Air Force security enterprise leader,UAPGerb Hidden Wing 2026
hw_randall_walden,Randall G. Walden,randall_walden,Individual,2,SES; Director and PEO for DAF Rapid Capabilities Office; B-21 Raider lead; Now at Aerospace Corp board,UAPGerb Hidden Wing 2026
hw_donna_shipton,Lt Gen Donna D. Shipton,donna_shipton,Individual,2,Commander AFLCMC at Wright-Patterson; Former Military Deputy SAF AQ; First woman to lead AFLCMC,UAPGerb Hidden Wing 2026
hw_dawn_dunlop,Maj Gen Dawn M. Dunlop,dawn_dunlop,Individual,2,Former SAPCO Director; Former 412th Test Wing Commander at Edwards AFB (2009-2012),UAPGerb Hidden Wing 2026
hw_eric_wang,Dr. Eric Henry Wang,eric_wang,Individual,3,AFSWC Research Directorate chief (1949-1960); Alleged UFO reverse engineering lead; Connected to Kingman and Aztec cases,UAPGerb Hidden Wing 2026
hw_lawrence_delaney,Lawrence J. Delaney,lawrence_delaney,Individual,2,Former SAF AQ (1999-2001); Acting SECAF 2001; Career at Aerospace Corp and SAIC and Martin Marietta,UAPGerb Hidden Wing 2026
hw_susie_payton,Sue Payton,sue_payton,Individual,2,Former SAF AQ (2006-2009) under Bush; Former Lockheed Martin advanced technology manager,UAPGerb Hidden Wing 2026
hw_neil_mccasland,Maj Gen Neil McCasland,neil_mccasland,Individual,2,Former AFRL Commander at Wright-Patterson (2011-2013); TTSA advisor; Discussed UFOs with Tom DeLonge and Podesta,UAPGerb Hidden Wing 2026
hw_dylan_borland,Dylan Borland,dylan_borland,Individual,,UAP whistleblower; Air Force veteran; Witnessed triangle craft at Langley AFB (2012); Congressional testimony,UAPGerb Hidden Wing 2026
hw_tom_delonge,Tom DeLonge,tom_delonge,Individual,,TTSA founder; Musician; Received alleged briefings from IC/DoD personnel on UFO programs,UAPGerb Hidden Wing 2026
hw_christopher_mellon,Christopher Mellon,christopher_mellon,Individual,2,Former PDASD for Intelligence; TTSA advisor; Published redacted signal exchange re SES2 gatekeeper,UAPGerb Hidden Wing 2026
hw_ronald_moultrie,Ronald S. Moultrie,ronald_moultrie,Individual,2,Former USD INS (2021-2024); Helped establish AARO; Dual-hatted as Director Defense Intelligence,UAPGerb Hidden Wing 2026
hw_arthur_stansel,Arthur Stansel Jr.,arthur_stansel,Individual,,Kingman crash witness (1953); Used pseudonym Fritz Werner; Worked under Eric Wang at Wright-Patterson,UAPGerb Hidden Wing 2026
hw_edgar_fouche,Edgar Fouche,edgar_fouche,Individual,,Alleged TR-3B whistleblower; Claims of reverse engineered propulsion from Sandia/Livermore,UAPGerb Hidden Wing 2026
hw_andrew_kissner,J. Andrew Kissner,andrew_kissner,Individual,,Former New Mexico State Rep; Interviewed legacy program personnel (1994-1995); Worked with Rep Schiff,UAPGerb Hidden Wing 2026
