display_name,description
# Level 1 - Control Group
JASON Advisory Panel,"Secretive scientific advisory group run through MITRE. Provides independent technical analysis to the U.S. government on national security matters. Alleged to have consensus understanding of legacy UAP programs."
National Security Council,"Principal forum for national security and foreign policy advising to the President. Coordinates executive branch agencies including DoD and IC."
NSC,National Security Council. Principal forum for national security and foreign policy advising to the President.
NPMS,"National Program Special Management Staff. Coordinates SAPs across DoD and IC under USD INS. Among the most highly cleared positions in DoD."
Dick Cheney,"Former Vice President and Secretary of Defense. Influential in executive branch and defense policy with ties to intelligence oversight."
# Level 2 - Administrators
NRO,"National Reconnaissance Office. Builds and operates U.S. spy satellites. IMINT and SIGINT collection. Key administrator of classified space programs."
NGA,National Geospatial-Intelligence Agency. Combat support agency providing geospatial intelligence to DoD and IC.
CIA,"Central Intelligence Agency. Directorate of Science and Technology (DS&T) historically involved in advanced collection and analysis."
DIA,Defense Intelligence Agency. Primary producer of foreign military intelligence for DoD.
NSA,National Security Agency. Signals intelligence and information assurance for the United States.
SAF AQ,"Assistant Secretary of the Air Force for Acquisition. Controls Air Force RDT&E and acquisition. Vast majority of Air Force legacy program operations reside here."
USD INS,"Under Secretary of Defense for Intelligence and Security. Oversees DIA NGA NRO NSA and national program coordination."
Rapid Capabilities Office,"DAF RCO. Accelerated acquisition bypassing traditional bureaucracy. B-21 Raider and X-37B programs. Near-limitless funding with minimal oversight."
AARO,All-domain Anomaly Resolution Office. Established to investigate UAP; reports to USD INS.
Air Force Material Command,"AFMC. Largest MAJCOM by budget. RDT&E and acquisition at Wright-Patterson and other centers."
412th Test Wing,"Edwards AFB test wing. Operates manned flights at Area 51. Alleged ARV testing program per testimony."
# Level 3 - FFRDCs
MITRE,"FFRDC. Systems engineering and R&D for DoD and IC. Most overlooked entity in UFO legacy programs per UAPGerb; deals with naval and USO programs."
Battelle,"Battelle Memorial Institute. FFRDC managing numerous institutions and DOE national labs including Oak Ridge and Pacific Northwest."
Sandia National Laboratories,"DOE NNSA national lab. Project Twinkle; Z division; experimental weapons testing. Alleged TR-3B R&D per Fouche."
Aerospace Corporation,"FFRDC for space systems. Established 1959-1960. Supports Air Force and Space Force acquisition."
RAND Corporation,"FFRDC. Policy research for DoD USAF and Army. NDRI Project AIR FORCE Arroyo Center."
Institute for Defense Analyses,IDA. FFRDC providing analytical support to OSD and Joint Staff.
AFRL,Air Force Research Laboratory. Technology Executive Officers interface with SAF-AQL for all Air Force S&T programs.
# Level 4 - Prime Contractors
Lockheed Martin,"Defense prime. Skunk Works at Plant 42. Kona Blue program involvement per testimony. Major SAP contractor."
Northrop Grumman,"Defense prime. Acquired BDM TRW Teledyne Ryan. Advanced technology development at Plant 42."
Boeing,"Defense prime. Phantom Works at Plant 42. Major aerospace and SAP contractor."
Raytheon,Defense contractor. Major supplier to Army and IC. Acquired E Systems (formerly LTV).
Leidos,"Defense IT and services. Spun from SAIC 2013. Terry Phillips former CSO. Major federal contractor."
SAIC,Science Applications International Corp. NSA West. Off-world technologies division allegations.
Peraton,"Defense IT. Formed from merger of Perspecta Vencore and Harris. Major NRO and IC contractor."
