source,target,label
Lockheed Martin EIG,The SI Organization,"Divestiture ($815M, 2010-11-29)"
The SI Organization,QinetiQ North America SSG,Acquisition (2014-05-27)
The SI Organization,Vencore,Rename (2014-07-23)
Vencore,Perspecta,Merged into (2018 formation)
Perspecta,Peraton,"Acquired ($7.1B, 2021-05-06)"
Northrop Grumman Federal IT/MSS,Peraton,"Carve-out ($3.4B, 2021-02-01)"
Peraton,Arcfield,"Divestiture (SES business, 2021-09-30)"
NGA,Perspecta,"NEE IDIQ ($824M, 2019)"
DCSA,Peraton,"NBIS OTA (~$474M, 2021)"
DCSA,Peraton,"Background Investigations ($2.25B, 2023)"
TSA,Peraton,"IMPACT II ($342.7M, 2022)"
Robert Cardillo,Peraton,Advisory Board (2019)
Veritas Capital,Peraton,Ownership
Veritas Capital,The SI Organization,Ownership
Veritas Capital,Arcfield,Ownership (Vantage Fund)
