source,target,label,notes
NRO,CIA DS&T,Program B Partnership,"Consolidation of reconnaissance activities, Program B established ground element at Pine Gap"
CIA DS&T,OGA,Created,OGA created under DS&T in 2003. Doug Wolfe served as Deputy Director (not first director - needs verification).
OGA,DOE NEST,Coordinates,OGA coordinates with DOE NEST for rapid reaction retrieval operations
OUSD,DDNI ATNF,Two Sides of Same Coin,Both have oversight over NRO program acquisitions per GAO
DOE,Sandia National Laboratories,Owns,Sandia is DOE NNSA National Lab
DOE,Lawrence Livermore National Laboratory,Owns,Lawrence Livermore is DOE NNSA National Lab
DOE,Oak Ridge National Laboratory,Owns,"Oak Ridge is DOE NNSA National Lab, housed under Y12"
DOE,Los Alamos National Laboratory,Owns,Los Alamos is DOE NNSA National Lab
DOE,DOE OICI,Subordinate Agency,DOE Office of Intelligence and Counter Intelligence
DOE,DOE NEST,Subordinate Agency,"DOE Nuclear Emergency Support Team, NNSA support team"
MITER Corporation,NRO,Contractor,MITER has extensive connections to NRO personnel
MITER Corporation,CIA DS&T,Contractor,MITER personnel have revolving door with DS&T
MITER Corporation,OUSD,Board Connection,Paul Kaminsky was OUSD director and MITER board member
MITER Corporation,DDNI ATNF,Personnel Connection,Donald Kerr connection (was NRO Director and MITRE Chairman) - Don Meyer claim unverified
Battel Memorial Institute,DOE,Manages Labs,Battel manages numerous DOE national lab institutions
Sandia National Laboratories,Nevada Test and Training Range,Manages,Sandia manages Tonopah Test Range on NTR
Lockheed Martin,CIA DS&T,Kona Blue Blocked,Reports suggest CIA DS&T (possibly Glenn Gaffney) blocked Lockheed material transfer to Bigelow in proposed Kona Blue program. Status: Unverified/contested. Sources: Liberation Times
MITER Corporation,Lockheed Martin,Program Admin,FFRDCs serve as program admins for defense industrial contractors
MITER Corporation,Northrop Grumman,Program Admin,FFRDCs serve as program admins for defense industrial contractors
DOE NEST,Sandia National Laboratories,Contractor,Sandia designs systems for DOE NEST operations
DOE NEST,Lawrence Livermore National Laboratory,Contractor,NEST comprised of contractors from national labs
DOE NEST,Los Alamos National Laboratory,Contractor,NEST comprised of contractors from national labs
DOE NEST,EG&G,Contractor,EG&G (now Amentum) is NEST contractor
Immaculate Constellation,NRO,Utilizes Platforms,Uses NRO spy satellites and overhead collection platforms
Immaculate Constellation,NGA,Utilizes Platforms,Uses NGA overhead collection platforms
Kona Blue,DHS,Proposed Program,"Kona Blue was a proposed DHS program to investigate UAP and reverse-engineer technology. Never approved or established. Verified: Inverse, AARO Historical Report"
Kona Blue,Lockheed Martin,Prime Contractor,Lockheed was prime contractor for Kona Blue
Kona Blue,Bigelow Aerospace Advanced Space Studies,Participant,BAASS was intended recipient of materials
Project Preserve Destiny,NSA,Operates,Project Preserve Destiny was NSA program
Project Twinkle,Sandia National Laboratories,Based At,Project Twinkle was U.S. Air Force investigation (1948-1951) of green fireballs in southwestern U.S. Sandia involvement needs verification. Verified: Wikipedia
Advanced Theoretical Physics Working Group,BDM,Held At,1985 physics group held at BDM MLAN facility
Area 51,Edwards 412 Test Wing,Operated By,Edwards 412 Test Wing operates manned flights at Area 51
Tonopah Test Range,Sandia National Laboratories,Managed By,"Sandia manages TTR, DOE experimental weapons testing"
Pine Gap,NRO,Program B Ground Element,NRO Program B ground element established at Pine Gap
Y12 Complex,Oak Ridge National Laboratory,Houses,Y12 complex houses Oak Ridge National Laboratory
Doug Wolfe,NRO,CIA Component Service,"Served 16 years with CIA component in NRO (1984-2000), contributing to launch and operations of multiple satellite systems. Later served as Associate Deputy Director of Science and Technology at CIA. Total 33 years at CIA. Verified: PSCouncil.org, Potomac Institute"
Doug Wolfe,CIA DS&T,Associate Deputy Director,"Associate Deputy Director of Science and Technology at CIA. Also served as CIO (2013-2016). Verified: TransUnion, ACG"
Doug Wolfe,OGA,Deputy Director,"Deputy Director of Office of Global Access (OGA). Verified: TransUnion, ACG"
Doug Wolfe,DDNI ATNF,Deputy Director,"Deputy Director for Acquisition, Technology, and Facilities at ODNI (DDNI ATNF). Verified: TransUnion, ACG"
Donald Kerr,NRO,Director,"Director of NRO (2005-2007). Verified: Wikipedia, GovInfo.gov"
Donald Kerr,Los Alamos National Laboratory,Director,"Director of Los Alamos (1979-1985). Verified: Wikipedia, GovInfo.gov"
Donald Kerr,CIA DS&T,Deputy Director,"Deputy Director for Science and Technology at CIA (2001-2005). Verified: Wikipedia, GovInfo.gov"
