source,target,relationship,amount_usd,start_date,end_date,source_citation,edge_id,source_norm,target_norm
US Air Force,MITRE Corporation,Govt. contract (FFRDC),541300000,2024-09-16,2025-09-30,"MITRE awarded $541M Air Force contract for National Security Engineering Center FFRDC support. Sole-source acquisition.",usaf_mitre_nsec_2024,us_air_force,mitre_corporation
US Army,Leidos,Govt. contract (IDIQ),7900000000,2024-01-01,2034-01-01,"Leidos awarded $7.9B U.S. Army tactical IT hardware contract for Common Hardware Systems 6th Generation (CHS-6). 4-year base + two 3-year options.",army_leidos_chs6_2024,us_army,leidos
NSA,Leidos,Govt. contract,390000000,2025-04-01,2030-04-01,"Leidos awarded $390M NSA signals intelligence contract for SIGINT capabilities, engineering, analysis tools. 1 base year + 4 option years.",nsa_leidos_sigint_2025,nsa,leidos
DIA,Leidos,Govt. contract,143000000,2024-01-01,2029-01-01,"Leidos awarded $143M DIA contract for TCPED system for Open Source Intelligence Integration Center. AI/ML capabilities.",dia_leidos_tcped_2024,dia,leidos
Space Force,Northrop Grumman,Govt. contract (modification),1800000000,2024-10-01,2031-04-01,"Northrop Grumman $1.8B Space Force contract modification for Next-Gen OPIR polar-orbiting missile warning satellites. Total value ~$4.1B.",ussf_northrop_ngopir_2024,space_force,northrop_grumman
NRO,SpaceX,Govt. contract (classified),1800000000,2021-01-01,2030-01-01,"SpaceX awarded $1.8B classified NRO contract for spy satellite constellation. Northrop providing sensors.",nro_spacex_constellation_2021,nro,spacex
NRO,Northrop Grumman,Govt. contract (sensors),500000000,2024-01-01,2030-01-01,"Northrop Grumman providing sensors for SpaceX NRO satellites. Testing ~50 satellites at facilities. Estimated value.",nro_northrop_sensors_2024,nro,northrop_grumman
NRO,HawkEye 360 Inc.,Govt. contract (extension),50000000,2025-12-01,2027-11-01,"NRO 23-month contract extension for HawkEye 360 RF geolocation capabilities. Commercial RF data.",nro_hawkeye_ext_2025,nro,hawkeye_360
NRO,Capella Space,Govt. contract (extension),30000000,2025-12-01,2027-04-01,"NRO 15.5-month contract extension for Capella Space commercial SAR radar capabilities.",nro_capella_ext_2025,nro,capella_space
NRO,ICEYE US Inc.,Govt. contract (extension),30000000,2025-12-01,2027-04-01,"NRO 15.5-month contract extension for ICEYE US commercial SAR radar capabilities.",nro_iceye_ext_2025,nro,iceye_us
NRO,Umbra Lab Inc.,Govt. contract (extension),30000000,2025-12-01,2027-04-01,"NRO 15.5-month contract extension for Umbra Lab commercial SAR radar capabilities.",nro_umbra_ext_2025,nro,umbra_lab
Missile Defense Agency,Lockheed Martin,Govt. contract (development),17000000000,2024-04-01,2035-01-01,"Lockheed Martin $17B contract for Next-Generation Interceptor (NGI) development. Ground-based Midcourse Defense system.",mda_lockheed_ngi_2024,mda,lockheed_martin
US Air Force,Lockheed Martin,Govt. contract (IDIQ),3910000000,2024-08-28,2028-09-30,"Lockheed Martin $3.91B IDIQ contract for F-35 Lightning II training system design, development, and sustainment.",usaf_lockheed_f35_training_2024,us_air_force,lockheed_martin
DOE,Battelle Memorial Institute,Govt. contract (GOCO),2500000000,2024-01-01,2027-09-30,"Battelle manages Pacific Northwest National Laboratory under DOE GOCO contract. Estimated annual value ~$2.5B.",doe_battelle_pnnl_2024,doe,battelle_memorial_institute
DOE,Battelle Energy Alliance,Govt. contract (GOCO),1800000000,2024-01-01,2029-09-20,"Battelle Energy Alliance (Battelle sole member) manages Idaho National Laboratory under DOE contract.",doe_battelle_inl_2024,doe,battelle_energy_alliance
DOE,Triad National Security,Govt. contract (GOCO),2800000000,2024-01-01,2028-10-31,"Triad National Security (Battelle/UC/Texas A&M) manages Los Alamos National Laboratory under DOE contract.",doe_triad_lanl_2024,doe,triad_national_security
US Air Force,Rapid Capabilities Office,Internal budget allocation,5000000000,2024-10-01,2025-09-30,"RCO annual budget for accelerated acquisition including B-21 Raider, X-37B, and 30+ classified programs. Estimated.",usaf_rco_budget_fy2025,us_air_force,rapid_capabilities_office
DARPA,Lockheed Martin,Govt. contract (R&D),250000000,2024-01-01,2028-01-01,"Lockheed Martin Skunk Works hypersonics and advanced aerospace R&D contracts. Estimated aggregate value.",darpa_lockheed_rd_2024,darpa,lockheed_martin
DARPA,Northrop Grumman,Govt. contract (R&D),200000000,2024-01-01,2028-01-01,"Northrop Grumman advanced systems R&D contracts including autonomous systems. Estimated aggregate value.",darpa_northrop_rd_2024,darpa,northrop_grumman
Air Force Research Lab,Boeing,Govt. contract (R&D),150000000,2024-01-01,2027-01-01,"Boeing Phantom Works advanced aerospace R&D through AFRL. Estimated aggregate value.",afrl_boeing_rd_2024,air_force_research_lab,boeing
