entity_id,display_name,normalized_name,entity_type,description,aliases,source
uapgerb_national_reconnaissance_office,National Reconnaissance Office,NRO,Government Agency,"National Reconnaissance Office - runs America's spy satellites, IMT and SIGINT primarily",NRO,UAPGerb Transcript 2025
uapgerb_national_geospatial_intelligence_agency,National Geospatial-Intelligence Agency,NGA,Government Agency,National Geospatial-Intelligence Agency - combat support agency,NGA,UAPGerb Transcript 2025
uapgerb_defense_intelligence_agency,Defense Intelligence Agency,DIA,Government Agency,Defense Intelligence Agency,DIA,UAPGerb Transcript 2025
uapgerb_cia_directorate_of_science_and_technology,CIA Directorate of Science and Technology,CIA DS&T,Government Agency,CIA Directorate of Science and Technology - legacy program administrator,"CIA DS&T, DS&T",UAPGerb Transcript 2025
uapgerb_department_of_energy,Department of Energy,DOE,Government Agency,Department of Energy - holds classification systems for UFO legacy programs,"DOE, Department of Energy",UAPGerb Transcript 2025
uapgerb_doe_office_of_intelligence_and_counter_intelligence,DOE Office of Intelligence and Counter Intelligence,DOE OICI,Government Agency,DOE Office of Intelligence and Counter Intelligence - program protection for legacy programs,"DOE OICI, OICI",UAPGerb Transcript 2025
uapgerb_doe_nuclear_emergency_support_team,DOE Nuclear Emergency Support Team,DOE NEST,Government Agency,"DOE Nuclear Emergency Support Team - rapid reaction responses to CBRNE events, crash retrieval operations","DOE NEST, NEST",UAPGerb Transcript 2025
uapgerb_darpa_security_and_intelligence_directorate,DARPA Security and Intelligence Directorate,DARPA SID,Government Agency,DARPA Security and Intelligence Directorate - program protection for special access programs,"DARPA SID, DARPA Security and Intelligence Directorate",UAPGerb Transcript 2025
uapgerb_national_security_agency,National Security Agency,NSA,Government Agency,National Security Agency,NSA,UAPGerb Transcript 2025
uapgerb_office_of_global_access,Office of Global Access,OGA,Government Agency,CIA Office of Global Access - created 2003 under DS&T for foreign UFO crash retrievals,"OGA, Office of Global Access",UAPGerb Transcript 2025
uapgerb_deputy_director_for_national_intelligence_for_acquisition_technology_and_facilities,Deputy Director for National Intelligence for Acquisition Technology and Facilities,DDNI ATNF,Government Agency,Deputy Director for National Intelligence for Acquisition Technology and Facilities - oversight over NRO acquisitions,DDNI ATNF,UAPGerb Transcript 2025
uapgerb_office_of_under_secretary_of_defense_for_acquisition_and_sustainment,Office of Under Secretary of Defense for Acquisition and Sustainment,OUSD,Government Agency,"Office of Under Secretary of Defense for Acquisition and Sustainment - previously OUSDAT, holds records to special carveout programs","OUSD, OUSDAT",UAPGerb Transcript 2025
uapgerb_all_domain_anomaly_resolution_office,All-domain Anomaly Resolution Office,AARO,Government Agency,All-domain Anomaly Resolution Office - established to investigate UAP,AARO,UAPGerb Transcript 2025
uapgerb_miter_corporation,MITER Corporation,MITER,Research Institution,"MITER Corporation - FFRDC, most overlooked entity in UFO legacy programs, deals with naval programs and USOs","MITER, MITER Corporation",UAPGerb Transcript 2025
uapgerb_battel_memorial_institute,Battel Memorial Institute,Battel,Research Institution,"Battel Memorial Institute - FFRDC, manages numerous institutions and DOE national labs","Battel, Battel Memorial Institute",UAPGerb Transcript 2025
uapgerb_sandia_national_laboratories,Sandia National Laboratories,Sandia,Research Institution,"Sandia National Laboratories - DOE NNSA National Lab, Project Twinkle, Z division, experimental weapons testing","Sandia, Sandia Labs, Sandia National Lab",UAPGerb Transcript 2025
uapgerb_lawrence_livermore_national_laboratory,Lawrence Livermore National Laboratory,Lawrence Livermore,Research Institution,Lawrence Livermore National Laboratory - DOE NNSA National Lab,"Lawrence Livermore, LLNL, Livermore",UAPGerb Transcript 2025
uapgerb_oak_ridge_national_laboratory,Oak Ridge National Laboratory,Oak Ridge,Research Institution,"Oak Ridge National Laboratory - DOE NNSA National Lab, housed under Y12 complex","Oak Ridge, ORNL, Y12",UAPGerb Transcript 2025
