source,target,label,notes
Department of the Air Force,Headquarters Air Force,Contains,DAF encompasses HALF as top-level military staff
Headquarters Air Force,Air Force Acquisition (SAF-AQ),Contains,HALF houses SAF-AQ within the Air Force Secretariat
Air Force Acquisition (SAF-AQ),Air Force Special Programs (SAF-AQL),Directorate,SAF-AQL is directorate under SAF-AQ
Air Force Acquisition (SAF-AQ),Air Force Acquisition Integration (SAF-AQX),Directorate,SAF-AQX is directorate under SAF-AQ
Air Force Acquisition (SAF-AQ),"Air Force Science, Technology and Engineering (SAF-AQR)",Directorate,SAF-AQR is directorate under SAF-AQ
Air Force Acquisition (SAF-AQ),Air Force Rapid Capabilities Office,Oversight,RCO operates under SAF-AQ oversight with near-limitless funding
Administrative Assistant to Secretary of Air Force,Air Force Sensitive Activities (SAF-AAH),Directorate,SAF-AAH falls under SAF-AA
Administrative Assistant to Secretary of Air Force,Air Force Security/Special Programs Oversight (SAF-AAZ),Directorate,SAF-AAZ falls under SAF-AA
Headquarters Air Force,Administrative Assistant to Secretary of Air Force,Contains,SAF-AA within HALF
Headquarters Air Force,Air Force Test and Evaluation,Air Staff,AFTE is Air Staff compliance element
Air Force Test and Evaluation,Air Force T&E Policy and Programs (AFTEP),Subordinate,AFTEP under AFTE
Air Force Test and Evaluation,Air Force T&E Resource Integration (AFTER),Subordinate,AFTER under AFTE
Air Force Test and Evaluation,Air Force T&E Special Programs (AFTEZ),Subordinate,AFTEZ under AFTE
Air Force Materiel Command,Air Force Research Laboratory,Contains,AFRL under AFMC
Air Force Special Programs (SAF-AQL),Air Force Research Laboratory,Interfaces With,SAF-AQL interfaces with AFRL Technology Executive Officers for all AF S&T Programs
Air Force Special Programs (SAF-AQL),"Air Force Science, Technology and Engineering (SAF-AQR)",Coordinates With,SAF-AQL works closely with SAF-AQR on SAP and non-SAP RDT&E
Air Force Special Programs (SAF-AQL),Under Secretary of Defense for Acquisition and Sustainment,Partnership,USD-ANS partners with SAF-AQL. NSC may use this for clandestine UFO purposes
Under Secretary of Defense for Acquisition and Sustainment,Office of Secretary of Defense,Under,USD-ANS is department under OSD
Air Force Special Programs (SAF-AQL),Office of Secretary of Defense,Works With,SAF-AQL and AFRL work closely with OSD Funding and Program Management
412th Test Wing,Edwards Air Force Base,Based At,412th Test Wing based at Edwards AFB
412th Test Wing,Area 51,Operates At,412th Test Wing operates manned flights at Area 51
Air Force Rapid Capabilities Office,412th Test Wing,Oversight,RCO has oversight of test wing operations
JASON Advisory Panel,MITRE Corporation,Run Out Of,Jason Advisory Panel run out of MITRE Corporation
JASON Advisory Panel,National Security Council,Below,Jason and UFO control group below powerful NSC figures
Dick Cheney,National Security Council,Ties To,Former SecDef with ties to executive branch
Air Force Sensitive Activities (SAF-AAH),DODI S-5210.36 Sensitive Support Directive,Governed By,SAF-AAH sensitive activities defined by DODI S-5210.36
Ed (Air Force Acquisition Witness),Air Force Acquisition (SAF-AQ),Testified About,Ed testified SAF-AQ is inflection point where funds go black
David Grusch,Department of the Air Force,Testified About,2023 testimony on UFO crash retrievals
