agency,record_request,timeframe,relevance,notes,specificity_score,likelihood_score,priority_score,quality_notes
NRO,"NRO Program B records, consolidation of reconnaissance activities between NRO and CIA DS&T, ground element at Pine Gap Australia (1982-1989)",1982-1989,Direct connection to UFO legacy programs and crash retrieval operations,Mentioned in transcript - R. Everett Heinman was NRO Program B director. Bobby Ray Inman referenced Program B in connection with crash retrieval.,0.9,0.2,0.7,Specificity: Has specific date range; References specific programs/projects; Specifies record types; References specific personnel | Likelihood: Older records may have better release rates; High classification level reduces likelihood | Priority: Direct connection to legacy programs; Crash retrieval operations; Based on testimony/verified sources
NRO,"1994-1995 Senate and GAO audit records for misappropriation of funds, specifically carryover funds (~$3.2 billion)",1994-1995,Demonstrates funding mechanisms for legacy programs through misappropriated funds,Transcript mentions NRO and NGA underwent audit for enormous misappropriation of funds. NRO was only declassified in 1992.,0.6,0.2,0.1,Specificity: Has specific date range; Specifies record types; References specific dollar amounts | Likelihood: Older records may have better release rates; High classification level reduces likelihood | Priority: Funding mechanisms
CIA DS&T,"Office of Global Access (OGA) creation and operational records (2003+), foreign UFO crash retrieval operations",2003-present,OGA is logistics/combat support agency for foreign crash retrievals,Created under DS&T in 2003. First director was Doug Wolfe. Coordinates with DOE NEST and US Army 160th SOAR for retrievals.,0.9,0.1,0.3,Specificity: Has specific date range; References specific programs/projects; Specifies record types; References specific personnel | Likelihood: Current/ongoing records less likely to be released | Priority: Crash retrieval operations
CIA DS&T,Kona Blue program records - decision to block Lockheed Martin material transfer to Bigelow Aerospace (2010),2010,"Shows CIA DS&T blocking technology transfer, Glenn Gaffney involvement",Failed USAP program. Glenn Gaffney (CIA DS&T deputy director) blocked technology transfer. AARO Historical Report Volume 1 references.,0.9,0.2,0.2,Specificity: Has specific date range; References specific programs/projects; Specifies record types; References specific personnel | Likelihood: Standard likelihood | Priority: Material/technology transfer
DOE OICI,"Classification controls and oversight for UFO legacy programs under 1954 Atomic Energy Agreement, special nuclear materials classification",1954-present,DOE holds classification systems that govern UFO legacy programs,"Authority derived from 1954 Atomic Energy Agreement. Includes special nuclear materials, TFNI, and FII classifications.",0.7,0.2,0.1,Specificity: Has specific date range; References specific programs/projects; References specific personnel | Likelihood: Older records may have better release rates; High classification level reduces likelihood | Priority: Classification systems
DOE NEST,"Rapid reaction retrieval team records, foreign and domestic crash retrieval operations, private jet operations",1990s-present,DOE NEST responsible for rapid reaction responses to CBRNE events and UFO crash retrievals,DOE NNSA support team. Has private jets. Coordinates with CIA OGA for retrievals. Operates under 1954 Atomic Energy Agreement authority.,0.5,0.3,0.3,Specificity: References specific programs/projects; Specifies record types | Likelihood: Standard likelihood | Priority: Crash retrieval operations
DARPA SID,"Program protection strategies for special access programs, insider threat management for legacy programs",1980s-present,DARPA SID responsible for program protection for most classified SAPs,Security and Intelligence Directorate - program protection structure for special access programs.,0.3,0.2,0.0,Specificity: References specific programs/projects | Likelihood: High classification level reduces likelihood | Priority: Standard priority
MITER Corporation,"FFRDC contracts related to UFO legacy programs, anti-gravity conferences, naval program involvement, USO-related work",1960s-present,MITER is emphasized as most overlooked but crucial entity in legacy programs,"Government-owned contractor-operated FFRDC. Numerous high-level personnel connections (Paul Kaminsky, Don Meyer, Donald Kerr).",0.5,0.1,0.0,Specificity: References specific programs/projects; Specifies record types | Likelihood: High classification level reduces likelihood | Priority: Standard priority
OUSD,"Special carveout holdover programs referenced in Wilson-Davis notes, permanent SAPO oversight committee records",1990s-2000s,Wilson-Davis notes reference OUSDAT holding records to special carveout programs with access to legacy programs,Office of Under Secretary of Defense for Acquisition and Sustainment (formerly OUSDAT). Paul Kaminsky was director and MITER board member.,0.5,0.2,0.0,Specificity: References specific programs/projects; Specifies record types | Likelihood: High classification level reduces likelihood | Priority: Standard priority
DDNI ATNF,"NRO acquisition oversight records, relationship with OUSD for program acquisitions",2000s-present,DDNI ATNF has oversight over NRO program acquisitions per GAO,"Counterpart to OUSD in intelligence community. Doug Wolfe served as DDNI ATNF. Mark Moahan also held position with NRO, CIA, OGA connections.",0.5,0.3,0.0,Specificity: References specific programs/projects; Specifies record types | Likelihood: Standard likelihood | Priority: Standard priority
