Entity,Category,System,Suggested_Query,Recommended_Filters,Red_Flag_Terms,Next_Step
Sandia National Laboratories,DOE/NNSA FFRDC,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""Sandia National Laboratories""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Sandia National Laboratories,DOE/NNSA FFRDC,USAspending (Award → Mod History),"Awardee = ""Sandia National Laboratories"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Sandia National Laboratories,DOE/NNSA FFRDC,FPDS (legacy ezSearch),"""Sandia National Laboratories"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Sandia National Laboratories,DOE/NNSA FFRDC,GAO Bid Protests,"""Sandia National Laboratories"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Sandia National Laboratories,DOE/NNSA FFRDC,SEC EDGAR (8-K/10-K/Exhibits),"""Sandia National Laboratories"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Sandia National Laboratories,DOE/NNSA FFRDC,Delaware SOS (Entity Search),"""Sandia National Laboratories""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Sandia National Laboratories,DOE/NNSA FFRDC,IRS 990 (if applicable),"""Sandia National Laboratories"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Sandia National Laboratories,DOE/NNSA FFRDC,Jobs Telemetry,"""Sandia National Laboratories"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Sandia National Laboratories,DOE/NNSA FFRDC,NRC ADAMS,"""Sandia National Laboratories"" OR site address; filter Part 71, Type B(U), sealed source, license scope changes, temp jobsite approvals",Licenses/Part 71/shipments,sealed source; Type B(U); temp jobsite approvals,Capture docket/permit IDs; link to PIIDs if visible
Sandia National Laboratories,DOE/NNSA FFRDC,DOE OpenNet,"""Sandia National Laboratories"" OR site/campus name; filter for unclassified tech reports with relevant keywords",Unclass tech reports,glovebox; hot cell; shielding materials,Capture docket/permit IDs; link to PIIDs if visible
