event_id,event_date,date_precision,title,summary,category,region,confidence_tier
EVT-1933-001,1933-06-13,exact,Magenta Italy Crash,"A craft of unknown origin reportedly crashed near Magenta, Italy. Recovered by Mussolini's government and studied under RS/33 cabinet.",crash_retrieval,Italy,corroborated
EVT-1941-001,1941-02-01,month_only,Cape Girardeau Missouri Crash,"Alleged crash retrieval in Cape Girardeau, Missouri. Witnesses reported non-human bodies recovered by military.",crash_retrieval,USA - Missouri,contested
EVT-1942-001,1942-02-25,exact,Battle of Los Angeles,"Unidentified aerial objects triggered sustained anti-aircraft fire over Los Angeles. 1,400+ rounds fired. No aircraft downed.",sighting,USA - California,confirmed
EVT-1947-001,1947-06-24,exact,Kenneth Arnold Sighting,"Private pilot Kenneth Arnold reported nine disc-shaped objects flying in formation near Mount Rainier, Washington. Coined 'flying saucers'.",sighting,USA - Washington,confirmed
EVT-1947-002,1947-07-08,exact,Roswell Incident,"RAAF press release announced recovery of a 'flying disc' near Roswell, NM. Retracted within hours as a weather balloon. Remains the most debated UFO incident.",crash_retrieval,USA - New Mexico,corroborated
EVT-1947-003,1947-09-18,exact,National Security Act Creates CIA and USAF,"Signed into law, establishing the CIA, National Security Council, and Department of the Air Force as independent service branch.",legislation,USA - Washington DC,confirmed
EVT-1948-001,1948-01-07,exact,Mantell UFO Incident,"USAF Captain Thomas Mantell crashed his P-51 while pursuing an unidentified object over Kentucky. Air Force attributed to a Skyhook balloon.",military,USA - Kentucky,confirmed
EVT-1952-001,1952-07-19,exact,Washington DC UFO Flap,"Unknown objects appeared on radar and were visually confirmed over Washington DC on consecutive weekends. Triggered largest Pentagon press conference since WWII.",sighting,USA - Washington DC,confirmed
EVT-1953-001,1953-01-14,exact,CIA Robertson Panel,"CIA-sponsored panel concluded UFOs posed no direct threat but recommended debunking efforts to reduce public interest. Classified until 1966.",organizational,USA - Washington DC,confirmed
EVT-1961-001,1961-09-19,exact,Betty and Barney Hill Abduction,"First widely publicized alien abduction claim. The Hills reported a close encounter and missing time on a New Hampshire highway.",sighting,USA - New Hampshire,contested
EVT-1966-001,1966-04-05,exact,Congressional UFO Hearings,"House Armed Services Committee held hearings on UFOs. Led to the Condon Committee study at University of Colorado.",legislation,USA - Washington DC,confirmed
EVT-1969-001,1969-12-17,exact,Project Blue Book Closed,"USAF terminated Project Blue Book, its 22-year UFO investigation program. Concluded no UFO represented a threat to national security.",organizational,USA - Ohio,confirmed
EVT-1980-001,1980-12-26,exact,Rendlesham Forest Incident,"USAF personnel at RAF Woodbridge reported encounters with an unidentified craft in Rendlesham Forest over multiple nights. Official memo filed by Lt. Col. Halt.",military,United Kingdom,corroborated
EVT-1986-001,1986-11-17,exact,Japan Airlines Flight 1628,"JAL cargo flight crew reported a massive unidentified object over Alaska. FAA investigated and confirmed radar anomalies.",sighting,USA - Alaska,confirmed
EVT-1989-001,1989-11-29,exact,Belgian UFO Wave Begins,"Thousands of witnesses in Belgium reported large triangular craft. Belgian Air Force scrambled F-16s; radar tracked anomalous targets.",sighting,Belgium,corroborated
EVT-1993-001,1993-03-30,exact,Phoenix Lights Precursor Sightings,"Multiple witnesses across Arizona reported massive V-shaped craft. Precursor to the more famous 1997 Phoenix Lights event.",sighting,USA - Arizona,contested
EVT-1997-001,1997-03-13,exact,Phoenix Lights,"Thousands witnessed a massive V-shaped craft over Phoenix, Arizona. Governor Fife Symington initially mocked the event but later confirmed he saw the craft.",sighting,USA - Arizona,confirmed
EVT-2004-001,2004-11-14,exact,USS Nimitz Tic Tac Encounter,"Navy F/A-18 pilots from USS Nimitz encountered a Tic Tac-shaped object exhibiting extraordinary flight characteristics off San Diego. Recorded on FLIR.",military,USA - Pacific Ocean,confirmed
EVT-2007-001,2007-01-01,year_only,AAWSAP/AATIP Program Initiated,"DIA established the Advanced Aerospace Weapon System Applications Program (AAWSAP), later known as AATIP, with $22M in funding secured by Sen. Harry Reid.",organizational,USA - Nevada,confirmed
EVT-2017-001,2017-12-16,exact,New York Times AATIP Disclosure,"NYT published 'Glowing Auras and Black Money' revealing the secret Pentagon UFO program AATIP and releasing Navy encounter videos.",disclosure,USA - New York,confirmed
EVT-2019-001,2019-09-18,exact,Navy Confirms UAP Videos Authentic,"U.S. Navy officially confirmed that three leaked videos (FLIR1, Gimbal, GoFast) depicted genuine unidentified aerial phenomena.",disclosure,USA - Washington DC,confirmed
EVT-2020-001,2020-08-04,exact,Pentagon Establishes UAPTF,"Department of Defense created the Unidentified Aerial Phenomena Task Force under the Office of Naval Intelligence.",organizational,USA - Washington DC,confirmed
EVT-2021-001,2021-06-25,exact,DNI Preliminary UAP Assessment,"Office of the Director of National Intelligence released the preliminary assessment on UAPs, examining 144 reports from 2004-2021.",disclosure,USA - Washington DC,confirmed
EVT-2022-001,2022-07-20,exact,Congressional UAP Hearings Resume,"First open congressional hearing on UFOs in 50+ years. Navy officials testified before House Intelligence subcommittee.",legislation,USA - Washington DC,confirmed
EVT-2022-002,2022-12-23,exact,NDAA 2023 Creates AARO,"National Defense Authorization Act for FY2023 established the All-domain Anomaly Resolution Office (AARO) and expanded whistleblower protections.",legislation,USA - Washington DC,confirmed
EVT-2023-001,2023-06-05,exact,David Grusch Whistleblower Testimony,"Intelligence officer David Grusch publicly alleged the U.S. government possesses non-human craft and biologics, filed complaints with the IC IG.",whistleblower,USA - Washington DC,confirmed
EVT-2023-002,2023-07-26,exact,House Oversight UAP Hearing,"Congressional hearing featured testimony from David Grusch, Ryan Graves, and David Fravor. Grusch testified under oath about crash retrieval programs.",legislation,USA - Washington DC,confirmed
EVT-2023-003,2023-12-14,exact,Schumer UAP Disclosure Amendment,"Sen. Schumer's UAP Disclosure Act passed Senate as part of NDAA but was significantly weakened in conference committee.",legislation,USA - Washington DC,confirmed
EVT-2024-001,2024-03-08,exact,AARO Historical Report Vol 1,"AARO released Volume 1 of its historical review concluding no verifiable evidence of extraterrestrial technology. Criticized by Congress members.",disclosure,USA - Washington DC,confirmed
EVT-2024-002,2024-11-13,exact,Immaculate Constellation Leaked,"Journalist Michael Shellenberger published details of alleged SAP named 'Immaculate Constellation' based on whistleblower intel.",whistleblower,USA - Washington DC,corroborated
EVT-2025-001,2025-01-01,month_only,Kona Blue Program Details Emerge,"Details emerged about a DHS-proposed program 'Kona Blue' that sought to study recovered anomalous materials. Program was not approved.",disclosure,USA - Washington DC,corroborated
EVT-2025-002,2025-11-01,month_only,UAP Disclosure Act 2.0 Efforts,"Continued legislative efforts to pass comprehensive UAP disclosure legislation with eminent domain provisions for recovered materials.",legislation,USA - Washington DC,corroborated
