entity_id,display_name,normalized_name,entity_type,description,aliases,intel_stack_level,source
hidden_wing_department_of_the_air_force,Department of the Air Force,DAF,Government Agency,"Overarching entity encompassing the US Air Force and Space Force, led by Secretary of the Air Force","DAF, Department of Air Force",2,UAPGerb - Hidden Wing (2026)
hidden_wing_headquarters_air_force,Headquarters Air Force,HALF,Government Agency,Top-level Air Force military staff supporting Secretary of the Air Force and Air Force Chief of Staff,"HALF, HAF, Headquarters of the Air Force",2,UAPGerb - Hidden Wing (2026)
hidden_wing_air_force_acquisition_saf_aq,Air Force Acquisition (SAF-AQ),SAF-AQ,Government Agency,"Air Force Secretariat Acquisition - vast majority of Air Force UFO legacy program operations reside here. Controls cutting-edge acquisition, RDT&E, and S&T","SAF-AQ, SAFAQ, Air Force Acquisition",2,UAPGerb - Hidden Wing (2026)
hidden_wing_air_force_special_programs_saf_aql,Air Force Special Programs (SAF-AQL),SAF-AQL,Government Agency,"Directorate under SAF-AQ - integrates SAP and non-SAP RDT&E, S&T planning activities. Interfaces with AFRL Technology Executive Officers","SAF-AQL, SAFAQL, Air Force Special Programs",2,UAPGerb - Hidden Wing (2026)
hidden_wing_air_force_acquisition_integration_saf_aqx,Air Force Acquisition Integration (SAF-AQX),SAF-AQX,Government Agency,Acquisition Integration directorate under SAF-AQ,"SAF-AQX, SAFAQX, Acquisition Integration",2,UAPGerb - Hidden Wing (2026)
hidden_wing_air_force_science_technology_and_engineering_saf_aqr,"Air Force Science, Technology and Engineering (SAF-AQR)",SAF-AQR,Government Agency,"Science, Technology and Engineering directorate under SAF-AQ. Works closely with SAF-AQL on advanced technology development","SAF-AQR, SAFAQR, Science Technology Engineering",2,UAPGerb - Hidden Wing (2026)
hidden_wing_air_force_rapid_capabilities_office,Air Force Rapid Capabilities Office,RCO,Government Agency,Accelerated acquisition office praised for developing and fielding critical combat capabilities. Operates in gray area with minimal oversight and near-limitless funding. Controlling entity for Air Force legacy program oversight,"RCO, Rapid Capabilities Office, AF RCO",2,UAPGerb - Hidden Wing (2026)
hidden_wing_administrative_assistant_to_secretary_of_air_force,Administrative Assistant to Secretary of Air Force,SAF-AA,Government Agency,Administrative Assistant to the Secretary of the Air Force within Headquarters Air Force,"SAF-AA, SAFAA",2,UAPGerb - Hidden Wing (2026)
hidden_wing_air_force_sensitive_activities_saf_aah,Air Force Sensitive Activities (SAF-AAH),SAF-AAH,Government Agency,Sensitive Activities directorate under SAF-AA. OPR for addressing combat Air Force and combat support agency mission needs involving sensitive activities per DODI S-5210.36,"SAF-AAH, SAFAAH, Sensitive Activities",2,UAPGerb - Hidden Wing (2026)
hidden_wing_air_force_security_special_programs_oversight_saf_aaz,Air Force Security/Special Programs Oversight (SAF-AAZ),SAF-AAZ,Government Agency,"Security, Special Programs Oversight, and Information Protection directorate under SAF-AA","SAF-AAZ, SAFAAZ, Special Programs Oversight",2,UAPGerb - Hidden Wing (2026)
hidden_wing_air_force_test_and_evaluation,Air Force Test and Evaluation,AFTE,Government Agency,Air Staff compliance element for Test and Evaluation. Actual RDT&E of exotic vehicles and derivative technologies conducted here,"AFTE, AF T&E, Air Force Test and Evaluation",2,UAPGerb - Hidden Wing (2026)
hidden_wing_air_force_t_e_policy_and_programs_aftep,Air Force T&E Policy and Programs (AFTEP),AFTEP,Government Agency,Policy and Programs subordinate under Air Force Test and Evaluation,AFTEP,2,UAPGerb - Hidden Wing (2026)
hidden_wing_air_force_t_e_resource_integration_after,Air Force T&E Resource Integration (AFTER),AFTER,Government Agency,Resource Integration subordinate under Air Force Test and Evaluation,AFTER,2,UAPGerb - Hidden Wing (2026)
hidden_wing_air_force_t_e_special_programs_aftez,Air Force T&E Special Programs (AFTEZ),AFTEZ,Government Agency,Special Programs subordinate under Air Force Test and Evaluation,AFTEZ,2,UAPGerb - Hidden Wing (2026)
hidden_wing_air_force_materiel_command,Air Force Materiel Command,AFMC,Government Agency,"Major Command (MAJCOM) - research, development, test, evaluation, and sustainment of weapon systems","AFMC, Air Force Materiel Command",2,UAPGerb - Hidden Wing (2026)
hidden_wing_air_force_research_laboratory,Air Force Research Laboratory,AFRL,Research Institution,Air Force Research Lab under AFMC. Technology Executive Officers interface with SAF-AQL for all Air Force S&T Programs,"AFRL, Air Force Research Lab, AF Research Laboratory",3,UAPGerb - Hidden Wing (2026)
hidden_wing_412th_test_wing,412th Test Wing,412th Test Wing,Government Agency,Edwards Air Force Base test wing. Operates manned flights at Area 51. ARV (Alien Reproduction Vehicle) testing program conducted here per Lt Col testimony,"412 Test Wing, 412th TW, Edwards Test Wing",5,UAPGerb - Hidden Wing (2026)
hidden_wing_under_secretary_of_defense_for_acquisition_and_sustainment,Under Secretary of Defense for Acquisition and Sustainment,USD-ANS,Government Agency,Department under OSD. Integral administrator to NRO UFO legacy programs. Partners with SAF-AQL for technology transfer and potentially hiding materials/budget,"USD-ANS, USD(A&S), OUSD A&S, OUSDAT",2,UAPGerb - Hidden Wing (2026)
hidden_wing_office_of_secretary_of_defense,Office of Secretary of Defense,OSD,Government Agency,Office of the Secretary of Defense - SAF-AQL and AFRL work closely with OSD Funding and Program Management Structure,"OSD, Office of Secretary of Defense",2,UAPGerb - Hidden Wing (2026)
hidden_wing_national_security_council,National Security Council,NSC,Government Agency,US National Security Council within executive branch. May utilize partnerships between USD-ANS and SAF-AQ for clandestine UFO-related purposes,"NSC, National Security Council",1,UAPGerb - Hidden Wing (2026)
hidden_wing_jason_advisory_panel,JASON Advisory Panel,JASON,Research Institution,Secretive scientific think tank run out of MITRE Corporation. Part of UFO control group with consensus understanding of legacy programs,"JASON, Jason Panel, Jason Advisory Group",1,UAPGerb - Hidden Wing (2026)
hidden_wing_david_grusch,David Grusch,David Grusch,Individual,Provided 2023 testimony on UFO crash retrievals and reverse engineering programs,"David Grusch, Grusch",,UAPGerb - Hidden Wing (2026)
hidden_wing_ed_air_force_acquisition_witness,Ed (Air Force Acquisition Witness),Ed,Individual,Witness who served in Air Force acquisition at Pentagon. Testified about misappropriation of funds within SAF-AQ as inflection point where funds go black,Ed,,UAPGerb - Hidden Wing (2026)
hidden_wing_hal_puthoff,Hal Puthoff,Hal Puthoff,Individual,Claims UFO legacy programs relegated to defense industrial base prime contractors to protect from FOIA,"Hal Puthoff, Harold Puthoff",,UAPGerb - Hidden Wing (2026)
hidden_wing_dick_cheney,Dick Cheney,Dick Cheney,Individual,Late former Secretary of Defense. Powerful figure with ties to executive branch above Jason and UFO control group,"Dick Cheney, Richard Cheney",1,UAPGerb - Hidden Wing (2026)
hidden_wing_dodi_s_5210_36_sensitive_support_directive,DODI S-5210.36 Sensitive Support Directive,DODI S-5210.36,Program,Classified DOD directive (6 Nov 2008) - Provision of DOD sensitive support to DOD components and other US government agencies. Governs sensitive activities under SAF-AAH,"DODI S-5210.36, DOD Directive S-5210.36",,UAPGerb - Hidden Wing (2026)
